D:\acmis\AI_4_dingodb\learning-query-optimizer\experiment\venv\Scripts\python.exe D:\acmis\AI_4_dingodb\learning-query-optimizer\experiment\SIMD\search.py
查询执行时间：34.4726 seconds
查询执行时间：42.5351 seconds
查询执行时间：41.4781 seconds
查询执行时间：41.7287 seconds
查询执行时间：41.5077 seconds
查询执行时间：42.4439 seconds
查询执行时间：40.7446 seconds
查询执行时间：43.9416 seconds
查询执行时间：39.5142 seconds
查询执行时间：40.7142 seconds
查询执行时间：43.9646 seconds
查询执行时间：40.0880 seconds
查询执行时间：42.1281 seconds
查询执行时间：39.1014 seconds
查询执行时间：41.3224 seconds
查询执行时间：41.2772 seconds
